"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,33,38,0,11,17,13,21,3,87,22,2011-04-01
SOUTHAMPTON NHS TREATMENT CENTRE,4297,3745,71,408,6059,0,4293,297,4441,260,2011-04-01
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9090,7698,119,1417,19895,9343,24124,1522,59972,4858,2011-04-01
SOUTHERN HEALTH NHS FOUNDATION TRUST,1468,1159,22,313,2724,81,3111,248,4647,527,2011-04-01
SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5358,4668,125,421,12305,3179,15306,1236,28025,2704,2011-04-01
SPIRE HEALTHCARE,2111,9873,0,0,15714,0,15598,0,30299,0,2011-04-01
ST GEORGE'S HEALTHCARE NHS TRUST,11214,8444,84,2040,35372,15079,39122,3862,68695,9304,2011-04-01
ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,7969,7632,227,316,17490,6463,19854,2001,59600,6876,2011-04-01
ST HUGH'S HOSPITAL,484,315,3,34,407,0,345,2,545,16,2011-04-01
ST MARY'S NHS TREATMENT CENTRE,1582,1344,21,184,1925,0,1065,32,417,2,2011-04-01
STOCKPORT NHS FOUNDATION TRUST,7977,7142,92,1053,15520,11160,19660,1670,57616,5174,2011-04-01
SUFFOLK MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,2011-04-01
SUFFOLK PCT,208,208,2,0,164,180,231,22,854,94,2011-04-01
SUNDERLAND TEACHING PCT,60,62,0,0,748,9,641,26,1418,66,2011-04-01
SURREY AND SUSSEX HEALTHCARE NHS TRUST,5934,4974,53,1301,16357,11614,18372,1404,28517,2513,2011-04-01
SURREY PCT,0,225,0,0,94,221,279,28,615,66,2011-04-01
SUSSEX COMMUNITY NHS TRUST,30,74,0,0,0,0,401,28,2185,166,2011-04-01
SUSSEX ORTHOPAEDIC NHS TREATMENT CENTRE,2029,1640,0,375,2897,0,1843,90,2490,35,2011-04-01
TAMESIDE HOSPITAL NHS FOUNDATION TRUST,5316,4639,236,766,10692,8637,18122,1538,26171,3984,2011-04-01
TAUNTON AND SOMERSET NHS FOUNDATION TRUST,10275,8809,175,1073,13122,7478,21948,1154,37617,2596,2011-04-01
THE CHESHIRE & MERSEYSIDE NHS TREATMENT CENTRE,70,481,4,41,56,0,76,3,2165,83,2011-04-01
THE CHRISTIE NHS FOUNDATION TRUST,2087,1846,132,222,117,5953,3500,229,52766,2736,2011-04-01
THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,479,426,0,60,16,2103,2631,120,48125,1883,2011-04-01
THE DUDLEY GROUP NHS FOUNDATION TRUST,7623,7603,92,12,13820,2610,27810,2263,66804,6345,2011-04-01
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5041,3822,160,835,15550,5447,18569,2077,34067,4308,2011-04-01
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,21901,19627,416,2178,40126,39289,71993,6070,165846,19744,2011-04-01
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5322,4880,0,645,14075,6121,17743,1355,34529,4516,2011-04-01
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6158,5576,112,683,12983,6234,18330,960,35913,2072,2011-04-01
THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,2681,2616,12,351,5591,1823,6101,332,14264,1425,2011-04-01
THE ROTHERHAM NHS FOUNDATION TRUST,7571,6864,240,766,14347,6957,21274,2156,54577,5852,2011-04-01
THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,11887,10529,72,1631,15985,7366,24075,1258,37797,2164,2011-04-01
THE ROYAL MARSDEN NHS FOUNDATION TRUST,1866,1578,2,293,2025,2641,3912,271,36481,1909,2011-04-01
THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,3210,2808,21,436,3140,1048,4265,283,12682,1413,2011-04-01
THE ROYAL WOLVERHAMPTON NHS TRUST,8681,7933,157,961,20707,10563,33674,3176,79475,8322,2011-04-01
THE WALTON CENTRE NHS FOUNDATION TRUST,1392,1173,12,255,5467,4034,7584,516,13706,1766,2011-04-01
THE WHITTINGTON HOSPITAL NHS TRUST,4730,4277,244,650,12262,5936,19445,2733,38472,6710,2011-04-01
TORBAY CARE TRUST,24,21,0,1,86,0,75,7,43,22012,2011-04-01
TOWER HAMLETS PCT,395,559,1,11,243,945,877,140,771,83,2011-04-01
TRAFFORD HEALTHCARE NHS TRUST,2833,2633,70,257,7681,3535,9617,814,29925,2756,2011-04-01
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,11724,10469,297,1603,27300,12767,37164,2678,71518,7783,2011-04-01
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12361,10057,311,2321,19589,21364,38489,4299,114432,15700,2011-04-01
UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,10389,10495,204,1032,20983,5150,21903,1723,56200,5872,2011-04-01
UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,9103,8257,204,1578,14945,6794,15137,1602,48061,4736,2011-04-01
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,8924,8885,151,1730,17220,20069,29777,2627,55236,5528,2011-04-01
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,9656,7976,124,1381,13192,22833,31931,5498,85525,11823,2011-04-01
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,10942,9873,187,2055,17579,14562,35544,2898,80332,8078,2011-04-01
UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,13234,11280,325,1779,21724,19049,33601,3090,55227,5888,2011-04-01
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,15228,13252,153,1953,32179,28123,43819,5381,93856,12225,2011-04-01
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8512,7986,57,749,20265,7675,25175,1988,39152,4392,2011-04-01
WALSALL HEALTHCARE NHS TRUST,5173,4524,97,619,14965,5176,20067,1650,39597,3621,2011-04-01
WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,6867,6225,166,989,11513,9387,15653,1091,36235,4660,2011-04-01
WEST HERTFORDSHIRE HOSPITALS NHS TRUST,8866,7866,104,1035,19387,12733,26776,1727,43259,5471,2011-04-01
WEST LONDON MENTAL HEALTH NHS TRUST,10,13,0,0,1617,1511,1089,252,9578,2049,2011-04-01
WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,2855,2550,113,71,12364,3442,15010,1683,28659,3921,2011-04-01
WEST SUFFOLK NHS FOUNDATION TRUST,2610,4461,23,619,13664,5174,17998,1039,28255,2493,2011-04-01
WESTERN SUSSEX HOSPITALS NHS TRUST,12436,10391,235,1856,22789,14270,37074,1698,48729,4165,2011-04-01
WESTON AREA HEALTH NHS TRUST,2459,2266,1,140,5568,1599,7843,400,15702,1523,2011-04-01
WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,7998,6149,298,1256,22295,8418,22817,3288,48992,7388,2011-04-01
WILL ADAMS NHS TREATMENT CENTRE,817,766,18,100,984,0,625,24,636,10,2011-04-01
WILTSHIRE PCT,0,0,0,0,674,622,1260,91,654,84,2011-04-01
WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,3345,2545,0,263,9452,4213,13183,789,27901,2474,2011-04-01
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,9212,8086,134,630,15893,11310,23383,2611,44046,6652,2011-04-01
WOLVERHAMPTON CITY PCT,0,0,0,0,316,227,435,141,2770,747,2011-04-01
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11162,9465,124,1704,21282,16695,30050,2391,60199,6208,2011-04-01
WORCESTERSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,1385,1010,758,146,6094,1113,2011-04-01
WORCESTERSHIRE PCT,940,497,108,288,1994,316,2483,226,5985,745,2011-04-01
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",9358,7576,254,1485,15170,8126,20999,1968,52027,5658,2011-04-01
WYE VALLEY NHS TRUST,3866,3779,52,475,10084,5083,14710,782,32031,2552,2011-04-01
YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3280,3381,15,407,6019,3494,8552,516,17609,1997,2011-04-01
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,6158,6229,36,730,19975,13375,21120,1048,39248,2664,2011-04-01
"5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST",0,0,0,0,22,1064,1266,201,5875,1118,2012-04-01
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9281,7677,227,439,13283,8795,18858,2933,43569,6202,2012-04-01
AIREDALE NHS FOUNDATION TRUST,2232,1998,32,232,9093,3497,11858,907,27656,2202,2012-04-01
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,2518,2152,23,5,5739,11339,10605,1469,22231,4709,2012-04-01
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4835,4239,34,1124,21245,12545,28666,2115,46792,3736,2012-04-01
ASHTEAD HOSPITAL,597,627,2,162,414,0,367,8,1311,39,2012-04-01
ASPEN - CLAREMONT HOSPITAL,165,165,0,0,189,0,189,16,348,18,2012-04-01
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13474,10789,456,1919,22125,14141,34128,4029,62233,8385,2012-04-01
BARLBOROUGH NHS TREATMENT CENTRE,730,663,1,55,978,0,903,34,1741,42,2012-04-01
BARNET AND CHASE FARM HOSPITALS NHS TRUST,13250,10525,103,2365,33330,21968,31287,2671,52909,5445,2012-04-01
"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",430,430,0,0,0,0,561,127,2965,850,2012-04-01
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4388,3920,239,516,11492,7576,18912,1996,55918,6289,2012-04-01
BARTS HEALTH NHS TRUST,22947,18497,490,4149,67745,48631,86017,11126,191071,26778,2012-04-01
BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7079,6076,25,789,16929,10801,22889,2252,38626,6325,2012-04-01
BEDFORD HOSPITAL NHS TRUST,6399,5636,35,506,10958,4275,13813,956,25901,2700,2012-04-01
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,51,44,74,14,620,34,2012-04-01
BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,0,0,0,0,1620,2149,2266,528,20106,5676,2012-04-01
BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,4530,4498,80,566,4407,5187,9546,955,23254,2331,2012-04-01
BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,75,584,0,0,8333,1558,8671,973,24982,2816,2012-04-01
BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,811,715,0,0,12904,1843,11989,589,19749,2179,2012-04-01
BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,495,1035,996,220,5873,1329,2012-04-01
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,13114,14317,201,1834,16575,13893,29180,2179,55502,6903,2012-04-01
BLAKELANDS HOSPITAL,409,424,0,56,784,0,709,15,534,23,2012-04-01
BMI - BATH CLINIC,337,443,0,100,766,12,637,15,776,17,2012-04-01
BMI - BISHOPS WOOD,265,305,0,69,431,122,480,23,701,45,2012-04-01
BMI - CHELSFIELD PARK HOSPITAL,47,73,0,19,110,7,119,6,200,8,2012-04-01
BMI - FAWKHAM MANOR HOSPITAL,130,170,0,60,333,16,338,12,396,14,2012-04-01
BMI - GORING HALL HOSPITAL,356,410,0,24,411,15,478,12,710,29,2012-04-01
BMI - SARUM ROAD HOSPITAL,100,136,0,18,152,0,184,8,375,20,2012-04-01
BMI - SHIRLEY OAKS HOSPITAL,285,338,0,69,431,2,469,28,776,51,2012-04-01
BMI - THE ALEXANDRA HOSPITAL,531,575,0,51,797,94,851,35,1192,113,2012-04-01
BMI - THE BEARDWOOD HOSPITAL,548,771,0,107,1293,25,1133,59,1500,156,2012-04-01
BMI - THE BEAUMONT HOSPITAL,747,904,0,185,1240,82,1269,51,1561,121,2012-04-01
BMI - THE BLACKHEATH HOSPITAL,278,277,0,56,626,4,530,33,655,64,2012-04-01
BMI - THE CLEMENTINE CHURCHILL HOSPITAL,321,380,0,77,717,315,599,41,1025,97,2012-04-01
BMI - THE DROITWICH SPA HOSPITAL,333,546,0,69,546,15,586,20,1148,58,2012-04-01
BMI - THE ESPERANCE HOSPITAL,181,173,0,2,14,0,10,0,59,1,2012-04-01
BMI - THE FOSCOTE HOSPITAL,101,140,0,10,177,0,162,8,269,23,2012-04-01
BMI - THE GARDEN HOSPITAL,67,82,0,32,152,95,113,15,225,16,2012-04-01
BMI - THE HAMPSHIRE CLINIC,305,392,0,24,195,180,406,7,732,34,2012-04-01
BMI - THE HARBOUR HOSPITAL,161,330,0,59,434,0,371,13,279,10,2012-04-01
BMI - THE HIGHFIELD HOSPITAL,753,914,0,137,804,448,1171,72,1751,318,2012-04-01
BMI - THE KINGS OAK HOSPITAL,181,198,0,124,514,167,475,15,487,39,2012-04-01
BMI - THE LONDON INDEPENDENT HOSPITAL,392,392,0,99,829,4,686,61,852,103,2012-04-01
BMI - THE MANOR HOSPITAL,25,23,0,203,88,210,76,2,39,0,2012-04-01
BMI - THE MERIDEN HOSPITAL,279,290,0,103,565,336,582,36,803,62,2012-04-01
BMI - THE PADDOCKS HOSPITAL,0,0,0,4,55,0,52,0,80,1,2012-04-01
BMI - THE PARK HOSPITAL,271,360,0,80,423,49,424,14,681,45,2012-04-01
BMI - THE PRINCESS MARGARET HOSPITAL,141,169,0,30,214,8,231,5,328,13,2012-04-01
BMI - THE RIDGEWAY HOSPITAL,555,713,0,131,1087,2,1023,25,1534,65,2012-04-01
BMI - THE RUNNYMEDE HOSPITAL,122,129,0,12,172,16,184,6,200,9,2012-04-01
BMI - THE SANDRINGHAM HOSPITAL,223,228,0,56,356,39,336,4,429,18,2012-04-01
BMI - THE SAXON CLINIC,178,216,0,41,380,6,312,5,533,23,2012-04-01
BMI - THE SHELBURNE HOSPITAL,95,126,0,30,152,4,158,9,291,0,2012-04-01
BMI - THE SLOANE HOSPITAL,63,76,0,4,117,3,97,7,182,6,2012-04-01
BMI - THE SOMERFIELD HOSPITAL,157,193,0,33,361,14,348,7,441,36,2012-04-01
BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,225,262,0,36,430,3,393,14,433,26,2012-04-01
BMI - THE WINTERBOURNE HOSPITAL,50,128,0,17,161,1,143,1,173,5,2012-04-01
BMI - THORNBURY HOSPITAL,184,222,0,45,349,34,327,7,407,33,2012-04-01
BMI - THREE SHIRES HOSPITAL,310,354,0,73,683,25,571,10,849,43,2012-04-01
BMI GISBURNE PARK HOSPITAL,207,207,0,0,947,0,690,257,543,298,2012-04-01
BMI MOUNT ALVERNIA HOSPITAL,78,90,0,28,200,7,184,10,217,11,2012-04-01
BMI ST EDMUNDS HOSPITAL,572,184,0,31,195,14,246,4,199,3,2012-04-01
BMI THE CAVELL HOSPITAL,176,149,0,57,219,19,207,0,322,11,2012-04-01
BMI THE DUCHY HOSPITAL,1302,151,0,70,276,43,248,7,484,19,2012-04-01
BMI THE EDGBASTON HOSPITAL,644,380,0,78,593,60,604,3,915,1,2012-04-01
BMI THE HUDDERSFIELD HOSPITAL,705,303,0,171,420,200,506,20,616,31,2012-04-01
BMI THE LANCASTER HOSPITAL,552,278,0,66,474,112,488,18,620,43,2012-04-01
BMI THE LINCOLN HOSPITAL,830,227,0,88,468,78,464,10,651,23,2012-04-01
BMI WOODLANDS HOSPITAL,484,593,0,56,569,47,674,0,2523,8,2012-04-01
BODMIN NHS TREATMENT CENTRE,969,1153,11,68,1139,0,1183,33,722,8,2012-04-01
BOLTON NHS FOUNDATION TRUST,6678,6207,151,503,16803,9549,23399,2498,43520,5172,2012-04-01
BOSTON WEST HOSPITAL,415,506,2,31,809,0,782,33,943,52,2012-04-01
BRADFORD DISTRICT CARE TRUST,0,220,0,0,377,0,321,0,0,0,2012-04-01
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9120,8372,135,607,14001,14684,26785,3063,59997,9018,2012-04-01
BRAINTREE COMMUNITY HOSPITAL,765,521,1,79,2109,191,2188,115,3345,369,2012-04-01
BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,0,0,0,0,1376,1036,1493,267,2890,380,2012-04-01
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,10354,9101,201,1618,24933,17317,35620,3265,76243,6100,2012-04-01
BROMLEY HEALTHCARE,15,38,0,3,260,342,525,44,2269,246,2012-04-01
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10035,8766,383,2124,22410,4863,27841,2263,51109,4617,2012-04-01
BURTON HOSPITALS NHS FOUNDATION TRUST,5516,4774,122,759,11619,9269,18753,1479,36360,3894,2012-04-01
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9749,8553,127,671,22188,5979,31208,2774,56345,5488,2012-04-01
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11793,10973,132,1180,21800,10368,30396,2023,67889,6162,2012-04-01
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0,0,0,0,57,361,178,24,347,73,2012-04-01
CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,72,64,3,18,4105,1660,3448,261,5011,540,2012-04-01
CARE UK REGIONAL OFFICE - MANCHESTER,0,0,0,0,16098,0,13437,1065,3142,86,2012-04-01
CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14830,12208,588,2096,30418,40872,57721,7583,156214,20475,2012-04-01
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5480,4751,121,947,14849,12035,45829,6677,82165,10534,2012-04-01
CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,450,451,0,0,0,0,393,6,6313,1210,2012-04-01
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5576,4839,93,496,12087,7436,16440,964,42673,3200,2012-04-01
CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,3953,4401,77,57,11240,927,11192,709,25034,2489,2012-04-01
CIRCLE BATH,576,776,1,4,1261,10,1255,50,1080,70,2012-04-01
CIRENCESTER NHS TREATMENT CENTRE,519,436,4,0,736,81,671,38,424,49,2012-04-01
CITY HEALTH CARE PARTNERSHIP CIC,0,0,0,0,0,5,5,0,1,0,2012-04-01
CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,14387,12891,46,1227,20747,19683,28036,2704,47740,6851,2012-04-01
CLIFTON PARK HOSPITAL,570,649,0,73,436,0,598,21,4334,204,2012-04-01
CLINICENTA LIMITED,1805,2458,10,0,2639,7841,2954,0,15125,1317,2012-04-01
COBALT NHS TREATMENT CENTRE,1087,985,53,40,1334,0,798,81,778,82,2012-04-01
COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,8531,7475,134,1218,15602,3790,27968,1726,46661,3170,2012-04-01
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4953,4340,93,517,13076,13482,18880,1522,44946,4280,2012-04-01
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,10544,10728,193,1167,25743,14747,39507,2897,59746,6230,2012-04-01
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,1376,6056,6188,557,11449,2462,2012-04-01
CROYDON HEALTH SERVICES NHS TRUST,6604,5796,423,1045,17207,9126,18946,3524,42180,7060,2012-04-01
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,131,164,752,148,1793,367,2012-04-01
DARTFORD AND GRAVESHAM NHS TRUST,4674,3937,84,570,9385,4646,14250,1105,22868,1869,2012-04-01
DERBY HOSPITALS NHS FOUNDATION TRUST,13998,13063,299,1281,19421,6848,26303,1682,63199,3708,2012-04-01
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,3473,3119,59,163,11995,2605,12267,809,25245,2675,2012-04-01
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,615,935,1249,278,7041,1152,2012-04-01
DEVIZES NHS TREATMENT CENTRE,1321,1473,31,0,1660,315,1361,136,607,40,2012-04-01
DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10162,9359,152,1252,27158,15451,36639,2741,80946,6401,2012-04-01
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5882,5482,95,654,9070,2381,11694,717,28260,2476,2012-04-01
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,865,872,8,13,1864,588,1918,127,3153,447,2012-04-01
DUCHY HOSPITAL,863,878,0,126,1303,0,1186,28,2637,155,2012-04-01
DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,397,403,758,122,6136,948,2012-04-01
EALING HOSPITAL NHS TRUST,3122,2074,183,545,10591,6511,12433,1819,21650,3558,2012-04-01
EAST AND NORTH HERTFORDSHIRE NHS TRUST,6632,5243,124,890,17356,7933,23338,2195,48506,5415,2012-04-01
EAST CHESHIRE NHS TRUST,3936,3299,16,749,7627,5786,11534,735,20663,1633,2012-04-01
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,11050,11367,114,1182,32315,22232,39677,3052,79074,6145,2012-04-01
EAST LANCASHIRE HOSPITALS NHS TRUST,11849,10723,336,2063,24896,5923,32398,3298,74160,7600,2012-04-01
EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,2749,542,2119,0,0,0,2012-04-01
EAST SUSSEX HEALTHCARE NHS TRUST,7153,6234,236,1197,23444,9786,29406,2355,48066,3784,2012-04-01
ECCLESHILL NHS TREATMENT CENTRE,1162,1131,35,0,2986,0,1053,265,1952,170,2012-04-01
EMERSONS GREEN NHS TREATMENT CENTRE,2075,2356,41,0,2309,422,1956,70,2276,239,2012-04-01
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,8391,6511,85,1639,20832,3704,23596,1729,46437,4128,2012-04-01
EUXTON HALL HOSPITAL,927,1031,0,130,1641,0,1585,6,4030,38,2012-04-01
FAIRFIELD HOSPITAL,1,1,0,0,0,0,0,0,2,0,2012-04-01
FITZWILLIAM HOSPITAL,931,1103,14,66,1528,0,1461,70,4842,280,2012-04-01
FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,6969,5966,71,677,15272,6317,19721,1178,45160,2797,2012-04-01
FULWOOD HALL HOSPITAL,1045,1311,0,120,1976,0,1888,93,5948,288,2012-04-01
GATESHEAD HEALTH NHS FOUNDATION TRUST,2139,2052,23,206,9724,3403,12251,856,25831,2308,2012-04-01
GISBURNE PARK NHS TREATMENT CENTRE,598,967,0,32,1006,0,957,40,2942,139,2012-04-01
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12584,11272,40,72,26313,12958,36761,1809,71498,5121,2012-04-01
GLOUCESTERSHIRE PCT,0,0,0,0,0,2430,2230,200,2041,213,2012-04-01
GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,2226,2730,20,237,955,6772,5732,603,33621,2856,2012-04-01
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4208,3322,67,774,15553,7980,25296,1722,36485,3650,2012-04-01
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,16704,14091,655,2662,30791,41514,57415,7418,111610,15992,2012-04-01
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,8530,7126,110,986,19864,14050,28245,1841,55925,5134,2012-04-01
HAND TO ELBOW CLINIC (BATH),0,0,0,0,38,0,35,2,4,0,2012-04-01
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5040,4570,79,502,9560,3616,11778,544,24784,1713,2012-04-01
HEART OF ENGLAND NHS FOUNDATION TRUST,22588,13077,412,9049,44050,32997,55343,6323,127190,13516,2012-04-01
HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,7458,7246,193,1731,18572,5916,17352,1970,32227,4396,2012-04-01
HERTFORDSHIRE COMMUNITY NHS TRUST,418,418,0,0,3963,3506,5500,189,5276,470,2012-04-01
HINCHINGBROOKE HEALTH CARE NHS TRUST,4427,3835,51,469,4932,4526,8817,395,13473,776,2012-04-01
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2664,2838,210,231,9938,3715,14475,2717,36663,6053,2012-04-01
HORTON NHS TREATMENT CENTRE,478,525,0,7,696,0,668,25,3452,163,2012-04-01
HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,16116,15018,319,1870,29060,9800,35423,3301,100333,9108,2012-04-01
HUMBER NHS FOUNDATION TRUST,0,0,0,0,742,311,624,39,1079,128,2012-04-01
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,17213,21099,59,4982,39480,37808,59752,10352,145293,20686,2012-04-01
IPSWICH HOSPITAL NHS TRUST,10086,7840,126,2358,22210,14613,27166,1425,76589,3386,2012-04-01
ISLE OF WIGHT NHS TRUST,2321,1705,19,438,8944,6329,12829,966,18995,1845,2012-04-01
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5826,6661,84,862,12124,2852,15003,1287,36897,2493,2012-04-01
KENDAL NHS TREATMENT CENTRE,314,339,0,42,372,0,351,23,1163,58,2012-04-01
KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,123,123,0,0,0,0,0,0,0,0,2012-04-01
KENT COMMUNITY HEALTH NHS TRUST,0,0,0,0,604,1123,1541,204,2229,294,2012-04-01
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6765,7369,206,707,9401,6799,15300,1164,25981,2536,2012-04-01
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,10256,7983,230,1553,15790,17495,32463,5096,78107,12592,2012-04-01
KINGSTON HOSPITAL NHS FOUNDATION TRUST,5325,4440,19,965,16176,5682,20227,2232,31735,3723,2012-04-01
LANCASHIRE CARE NHS FOUNDATION TRUST,0,0,0,0,388,2503,2745,366,6761,1193,2012-04-01
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,14700,11143,138,1766,24539,12727,34645,3376,87143,10864,2012-04-01
LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,313,287,449,45,1138,146,2012-04-01
LEEDS COMMUNITY HEALTHCARE NHS TRUST,80,80,0,0,3914,2044,3430,546,3144,467,2012-04-01
LEEDS TEACHING HOSPITALS NHS TRUST,23536,20562,527,2776,30199,32580,60879,8489,138498,16589,2012-04-01
LEICESTERSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,206,441,258,3,464,27,2012-04-01
LEWISHAM AND GREENWICH NHS TRUST,4767,4201,34,462,10665,11200,19546,1863,33038,4088,2012-04-01
LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,522,933,872,132,2999,503,2012-04-01
LIVERPOOL COMMUNITY HEALTH NHS TRUST,0,0,0,0,0,0,0,0,9,0,2012-04-01
